Steps,Weight (kg),Sleep Duration (hours),Calories Burned,Water Intake (L),Health Status
9719,80.1,7.4,2368,1.3,Unhealthy
10340,80.3,8.4,2230,1.4,Unhealthy
10435,79.6,6.9,2533,2,Unhealthy
9911,79.6,6.5,2360,1.3,Unhealthy
9656,79.6,8.1,2670,1.2,Unhealthy
9961,79.7,4.8,2685,2.4,Unhealthy
10464,80.2,7.8,2463,2.2,Unhealthy
10083,80.1,5.9,2693,3,Unhealthy
9849,79.5,6.8,2358,2.7,Unhealthy
9866,80.4,4.2,2637,1.5,Unhealthy
9909,80.1,7.3,2399,2.3,Unhealthy
9757,80.2,4.6,2404,2.5,Unhealthy
9663,79.6,6.1,2726,1.6,Unhealthy
10046,80,5.3,2594,1.2,Unhealthy
10442,79.6,7.1,2438,2.4,Unhealthy
10270,80.4,8.6,2485,1.8,Unhealthy
9648,79.7,4.2,2450,1.9,Unhealthy
9664,80.4,4.9,2779,2.2,Unhealthy
9985,79.6,9,2341,1.8,Unhealthy
9638,79.7,6.3,2388,1.8,Unhealthy
10086,80.3,6.1,2434,2.7,Unhealthy
10437,80,4.1,2620,2,Unhealthy
9506,80,4.5,2751,1.6,Unhealthy
9773,79.5,6.3,2387,2.8,Unhealthy
9516,79.6,8.5,2632,3,Unhealthy
9717,80.4,6,2707,1.3,Unhealthy
9629,79.9,8.3,2631,2.3,Unhealthy
9598,80.1,7,2560,1.6,Unhealthy
10197,79.9,6.7,2282,1.3,Unhealthy
10085,79.7,7.5,2531,1.7,Unhealthy
9895,80.1,4.2,2572,1,Unhealthy
9799,80.1,4.7,2312,1.7,Unhealthy
9883,79.9,6.5,2223,2.7,Unhealthy
9828,80,5.1,2499,1.8,Unhealthy
9633,79.6,5.3,2590,1.2,Unhealthy
9792,79.6,5,2469,1.9,Unhealthy
9572,80.2,5.8,2758,3,Unhealthy
10398,80.3,7.8,2359,1.1,Unhealthy
9743,79.6,7.2,2486,2.5,Unhealthy
9592,80.4,8.6,2708,1.8,Unhealthy
9801,79.5,7.1,2763,1.3,Unhealthy
10004,80.1,7.9,2599,1.2,Unhealthy
9745,79.6,8.7,2253,1.7,Unhealthy
9660,79.9,6.8,2582,2.3,Unhealthy
10318,79.8,6,2295,2.7,Unhealthy
9657,79.6,5.4,2370,2.8,Unhealthy
10351,80.1,7.8,2770,1.5,Unhealthy
10349,80,6.6,2221,1.9,Unhealthy
9819,80.1,7.6,2691,1.5,Unhealthy
10261,80.5,8.5,2644,1.5,Unhealthy
9913,79.8,7.6,2418,1.5,Unhealthy
9975,80.4,8.4,2407,1.4,Unhealthy
10246,80.2,4.9,2629,2.6,Unhealthy
9608,80.2,4.3,2235,2.3,Unhealthy
10070,80.3,8.1,2291,1.1,Unhealthy
9769,79.7,5.2,2222,2.7,Unhealthy
9728,80.1,5.7,2219,1.5,Unhealthy
9591,80.4,7.6,2263,1.3,Unhealthy
9918,80.3,8.5,2206,2.3,Unhealthy
10341,80.1,8.9,2742,1,Unhealthy
10363,79.8,8,2196,2.3,Unhealthy
10420,79.8,5.1,2520,2.6,Unhealthy
10045,79.5,8.5,2335,3,Unhealthy
9770,79.8,6.7,2683,1,Unhealthy
9897,79.7,4.4,2628,2.4,Unhealthy
9838,79.9,6.1,2495,1.9,Unhealthy
9556,79.8,6.2,2600,2.7,Unhealthy
10068,79.7,8.9,2321,2.4,Unhealthy
10020,79.8,6.9,2397,2.2,Unhealthy
10397,79.9,8,2200,2.9,Unhealthy
10438,80.2,4.5,2703,3,Unhealthy
10312,79.7,8.3,2289,1.2,Unhealthy
10014,79.9,6.2,2202,1.7,Unhealthy
10158,80.5,6.3,2328,2.7,Unhealthy
9868,80.1,7.7,2508,1.9,Unhealthy
9665,79.6,6.2,2279,1.7,Unhealthy
9784,80,5.3,2196,2.7,Unhealthy
9664,79.8,4.9,2749,1.1,Unhealthy
10297,79.9,8.4,2326,2.3,Unhealthy
9913,80.4,5.7,2379,2.1,Unhealthy
9703,79.6,8.8,2656,1.2,Unhealthy
10050,79.5,7.5,2195,1.7,Unhealthy
9661,80.2,8.4,2653,1.5,Unhealthy
9719,79.9,4.2,2761,2.3,Unhealthy
9849,79.8,5.3,2341,2.8,Unhealthy
9496,80.4,6.8,2709,1.5,Unhealthy
10170,80.2,5.7,2753,2.8,Unhealthy
10328,80,7.2,2326,2.9,Unhealthy
9966,80.2,7.9,2456,2.4,Unhealthy
10236,79.6,8.4,2625,2.9,Unhealthy
9706,79.8,8.9,2339,1.3,Unhealthy
9722,80.4,5.4,2505,2.6,Unhealthy
9628,79.5,7.9,2575,1.5,Unhealthy
9626,79.6,8.3,2705,1.1,Unhealthy
10275,80.5,5.7,2486,1.8,Unhealthy
9895,80.4,5.3,2540,1.5,Unhealthy
10300,80.3,4.5,2624,2.3,Unhealthy
10235,79.9,5.4,2531,1.2,Unhealthy
10089,80.2,8.1,2473,1.6,Unhealthy
10282,79.8,5.3,2612,1.3,Unhealthy
9440,79.6,7.9,2281,2.3,Unhealthy
10287,80.4,5.1,2223,2.6,Unhealthy
9988,79.7,5.4,2605,2.3,Unhealthy
10270,79.6,7,2364,2.9,Unhealthy
10321,80.4,7.2,2384,1.7,Unhealthy
9901,80.2,6.6,2410,1.8,Unhealthy
10236,79.9,8.3,2770,1.7,Unhealthy
10045,79.8,8.9,2189,2.3,Unhealthy
9555,79.9,6.6,2382,2.7,Unhealthy
9905,79.6,5.5,2624,2.7,Unhealthy
9892,80.4,7.5,2512,1.3,Unhealthy
9598,79.6,9,2565,1.7,Unhealthy
9460,79.9,4.7,2263,1.1,Unhealthy
9548,80.2,5,2554,2.7,Unhealthy
9542,79.6,4.9,2444,1.9,Unhealthy
10303,80.1,7.1,2496,1.2,Unhealthy
9510,79.9,4.1,2330,2.5,Unhealthy
9743,80.3,6.7,2253,2.6,Unhealthy
9973,79.8,7.5,2705,2.2,Unhealthy
10301,80.3,5.2,2549,2,Unhealthy
9477,80.4,4.6,2236,2.2,Unhealthy
10152,79.6,5.1,2467,1.2,Unhealthy
10331,80.1,8.1,2527,2.7,Unhealthy
9677,79.9,6.8,2441,1.8,Unhealthy
10199,79.8,5.1,2197,1.9,Unhealthy
9662,80.1,7.5,2454,1.3,Unhealthy
10294,79.9,6.5,2548,2.2,Unhealthy
10351,79.6,8.5,2212,2.9,Unhealthy
9652,80,5,2573,1.8,Unhealthy
9500,80.4,7.7,2281,2.3,Unhealthy
10139,80.1,5.4,2755,1.9,Unhealthy
9708,79.9,5,2606,2.1,Unhealthy
10409,80,8.8,2441,3,Unhealthy
10023,80.4,6,2388,2.1,Unhealthy
9909,79.7,4.5,2312,1.1,Unhealthy
10217,80.1,4,2698,2.7,Unhealthy
9596,80.3,4.4,2211,1.7,Unhealthy
10114,80.1,4.3,2399,2.6,Unhealthy
10406,79.8,8.2,2629,1.8,Unhealthy
9681,79.5,7.5,2592,1.8,Unhealthy
10281,80.1,6.4,2428,2.9,Unhealthy
9747,79.7,6,2313,2.2,Unhealthy
10132,80.4,6,2316,1.2,Unhealthy
9662,79.7,5.6,2267,2.8,Unhealthy
10051,79.8,7,2533,1.2,Unhealthy
10229,79.9,7.9,2509,1.5,Unhealthy
9701,80.1,4.6,2548,2.7,Unhealthy
10293,79.8,8.9,2473,2.9,Unhealthy
10122,80.2,5.6,2222,2.2,Unhealthy
10341,80,6.3,2478,2.3,Unhealthy
9545,80.4,8.6,2538,2.9,Unhealthy
10280,80.3,5.6,2231,1.7,Unhealthy
10390,79.7,6.5,2663,1.8,Unhealthy
9727,80.3,5,2244,2.5,Unhealthy
9891,80,6.9,2311,2.6,Unhealthy
9671,80.5,4.4,2239,1.6,Unhealthy
10158,80.2,5.8,2516,2.6,Unhealthy
9691,80.1,7.1,2462,1.3,Unhealthy
10212,79.8,8.1,2575,2.3,Unhealthy
9845,80.1,4.5,2701,2.6,Unhealthy
9519,80.3,8.5,2336,2.6,Unhealthy
10032,79.9,8.2,2285,2.3,Unhealthy
9411,80.1,5,2330,1,Unhealthy
9551,80.3,7.7,2413,1.1,Unhealthy
10297,80.3,8.2,2436,1.3,Unhealthy
9822,79.9,4.2,2630,2.6,Unhealthy
9590,80.1,6.8,2736,1.9,Unhealthy
10017,80.4,6.3,2181,2.5,Unhealthy
10388,80.1,4.6,2752,2.7,Unhealthy
10234,79.7,8.1,2637,2.2,Unhealthy
9833,79.9,8.7,2508,2,Unhealthy
9448,80.2,5.8,2183,1.5,Unhealthy
9459,80.2,8.2,2242,2,Unhealthy
10017,80.3,8.1,2545,1.8,Unhealthy
9561,79.9,7.1,2688,2.3,Unhealthy
10020,79.7,7.6,2429,2,Unhealthy
10130,80.3,4.8,2185,1.3,Unhealthy
9435,80.3,6.9,2182,1.9,Unhealthy
9678,79.5,4,2575,2.6,Unhealthy
10093,80.5,5.8,2239,1.5,Unhealthy
10161,80.3,8,2236,1.4,Unhealthy
10075,80,8.7,2736,1.5,Unhealthy
10042,80.1,5.1,2498,1.5,Unhealthy
9917,80.1,7.6,2546,2.9,Unhealthy
9702,80.1,7.3,2207,2,Unhealthy
10012,79.8,6.7,2261,1.2,Unhealthy
10314,80,5.5,2513,2.9,Unhealthy
10343,79.8,4.8,2492,1.6,Unhealthy
10272,79.7,5.5,2642,2.6,Unhealthy
10156,79.8,7.5,2384,2.2,Unhealthy
9450,80.1,7.9,2393,1.9,Unhealthy
9682,79.8,8.6,2222,2.1,Unhealthy
9742,79.8,4.1,2728,2.9,Unhealthy
9779,80.1,5.9,2270,2.7,Unhealthy
9707,79.8,8,2733,2.8,Unhealthy
9535,80.5,4,2199,2.2,Unhealthy
9651,80,4.7,2189,1.5,Unhealthy
9566,79.8,6.5,2315,1.5,Unhealthy
9774,79.7,5.3,2459,2.6,Unhealthy
9634,80.2,6.7,2315,1.5,Unhealthy
10194,79.5,4,2484,2.4,Unhealthy
10104,79.6,5.1,2499,2.6,Unhealthy
9719,79.9,7.6,2562,2.3,Unhealthy
9922,80.4,5.1,2174,2.8,Unhealthy
9706,79.9,4.1,2772,1.9,Unhealthy
9617,79.8,8.3,2428,1.9,Unhealthy
9681,79.6,6.2,2631,2.3,Unhealthy
9679,79.7,5.9,2427,1.1,Unhealthy
9864,80.5,4.4,2255,1.5,Unhealthy
9750,80.3,8.4,2332,3,Unhealthy
9930,79.9,8.3,2507,2.4,Unhealthy
10310,80.3,8.8,2437,1.6,Unhealthy
10173,79.7,8.2,2421,1.3,Unhealthy
9518,79.9,4.8,2426,2.2,Unhealthy
9918,79.6,4.2,2306,1.6,Unhealthy
9929,79.8,7.1,2314,1.2,Unhealthy
10144,80.2,4.4,2487,2.5,Unhealthy
10069,80.1,6.3,2565,2.6,Unhealthy
10018,79.6,6,2620,1.3,Unhealthy
9433,79.9,6.6,2715,2.8,Unhealthy
9839,79.5,6.1,2339,1.2,Unhealthy
10201,79.8,4.1,2661,1.5,Unhealthy
10005,79.8,5.5,2309,2.2,Unhealthy
9852,79.7,8.6,2692,1.6,Unhealthy
9689,80.4,5.3,2693,2.6,Unhealthy
9634,79.8,8.6,2691,1.3,Unhealthy
9940,80.4,7.4,2221,2.2,Unhealthy
10085,80.2,9,2570,1.7,Unhealthy
10166,79.7,5,2497,2.2,Unhealthy
9867,80.5,4.6,2560,1.5,Unhealthy
9648,80.4,6.7,2694,2.3,Unhealthy
9936,80.3,7.1,2520,2.2,Unhealthy
9954,80,4.2,2293,1.7,Unhealthy
10035,80.2,6.4,2454,1.2,Unhealthy
9422,79.6,6.5,2302,2.6,Unhealthy
9437,80.3,4.9,2745,2.8,Unhealthy
9393,80.5,4.1,2679,1.5,Unhealthy
9415,79.7,5.8,2586,1.3,Unhealthy
9437,80.3,5.1,2591,2.8,Unhealthy
9477,79.7,6.2,2258,1.5,Unhealthy
10150,79.6,8.3,2383,2.6,Unhealthy
10040,79.7,5.8,2235,2.4,Unhealthy
9625,79.9,5.3,2244,2.5,Unhealthy
9907,79.6,5.3,2711,2.3,Unhealthy
9443,80.4,5,2611,2.1,Unhealthy
9778,79.6,4.1,2495,1.5,Unhealthy
9971,80.4,4.1,2206,2.8,Unhealthy
9405,80,8.6,2327,1.4,Unhealthy
9940,80,4.6,2485,2.9,Unhealthy
10137,80.3,8.5,2710,2.7,Unhealthy
10196,80,4.8,2495,1.4,Unhealthy
10115,79.6,4.9,2764,2.3,Unhealthy
9569,80.4,6.9,2447,2.2,Unhealthy
10011,80.1,5.7,2334,1.8,Unhealthy
10356,80,4.9,2184,1.4,Unhealthy
9972,79.7,4.6,2448,1,Unhealthy
9428,79.8,9,2728,1.9,Unhealthy
9923,79.5,5.3,2480,2.5,Unhealthy
9872,79.6,7.9,2635,1.5,Unhealthy
9627,79.6,7.6,2700,1.4,Unhealthy
9861,79.7,6.2,2353,2.3,Unhealthy
9794,80,6.6,2507,1.6,Unhealthy
9517,80,4,2342,3,Unhealthy
10283,80.1,8.5,2248,1.3,Unhealthy
10213,79.7,6.3,2510,1.1,Unhealthy
9704,79.8,8.5,2224,2.8,Unhealthy
10201,80.4,5.9,2371,1.5,Unhealthy
9963,79.5,6.6,2185,2.7,Unhealthy
9620,79.8,4.5,2412,2.5,Unhealthy
9413,80.4,6.6,2647,3,Unhealthy
9668,79.6,7.1,2189,2.7,Unhealthy
9662,79.9,5.9,2357,2.1,Unhealthy
9371,80.2,8.2,2495,2.4,Unhealthy
9485,80.2,6.7,2255,1.2,Unhealthy
10095,80.2,6.2,2570,2.3,Unhealthy
10354,79.7,6.9,2333,1.1,Unhealthy
10289,79.6,4.9,2764,1.5,Unhealthy
9687,80.2,6.7,2563,1.9,Unhealthy
10299,79.7,4.4,2320,1,Unhealthy
9705,80.4,9,2450,2,Unhealthy
9414,79.7,7.8,2249,1,Unhealthy
9803,80.4,5.1,2660,1.8,Unhealthy
10092,80,8.3,2570,1.6,Unhealthy
9818,80.2,8,2724,2.1,Unhealthy
10269,80,7.1,2349,2.8,Unhealthy
9696,80.5,8.2,2329,2.2,Unhealthy
9400,80.1,4.5,2229,2.3,Unhealthy
9701,79.6,4.6,2291,2.4,Unhealthy
9743,80.3,8.5,2316,3,Unhealthy
10107,79.8,8.1,2748,2.6,Unhealthy
10247,79.7,7.7,2690,2.4,Unhealthy
10124,79.9,5.2,2614,2.1,Unhealthy
10249,79.9,6.8,2703,1.7,Unhealthy
10020,80.2,8.8,2680,1.9,Unhealthy
9486,79.7,8.2,2276,2.1,Unhealthy
9894,80.4,8.8,2600,1.4,Unhealthy
9671,80.1,4.6,2303,2,Unhealthy
10301,79.9,7.2,2246,2.2,Unhealthy
10095,80.1,6.5,2704,1.5,Unhealthy
10303,79.6,6.8,2275,2.5,Unhealthy
9641,79.9,8.3,2283,2.2,Unhealthy
9407,80.2,5.5,2732,2.8,Unhealthy
9978,80.3,5.5,2434,2.4,Unhealthy
10082,79.6,6,2266,2.9,Unhealthy
9955,80.5,5.2,2402,2.2,Unhealthy
9350,79.8,4.4,2473,1.3,Unhealthy
10324,79.5,4.3,2306,1.4,Unhealthy
9517,80.2,8.9,2524,2.9,Unhealthy
9783,79.5,6.5,2265,2.2,Unhealthy
9805,79.9,8.1,2230,2.8,Unhealthy
9824,80,7.8,2680,2.5,Unhealthy
9935,80.4,8.1,2175,1.6,Unhealthy
9900,79.6,7.5,2312,1.2,Unhealthy
9836,79.8,7,2629,2.3,Unhealthy
10262,80.2,5.5,2226,1.5,Unhealthy
9450,79.8,4.2,2297,1.7,Unhealthy
9679,79.7,5.1,2336,2.2,Unhealthy
9425,80.5,6.9,2303,1.6,Unhealthy
10197,79.8,8.5,2378,2.5,Unhealthy
9466,80,6.1,2223,1,Unhealthy
9583,80.4,4.2,2605,2.6,Unhealthy
10073,80.5,7.7,2742,2.8,Unhealthy
9433,80,5,2719,1.9,Unhealthy
9955,79.8,6.2,2618,2.7,Unhealthy
9584,80.3,7,2329,1.4,Unhealthy
9923,80.1,8.1,2288,1.5,Unhealthy
9347,80.4,6.6,2381,1.1,Unhealthy
9480,80.2,7.3,2670,1.3,Unhealthy
9925,79.5,6.9,2528,2.4,Unhealthy
9383,80.2,4.3,2599,3,Unhealthy
10033,80.3,5.9,2466,2.2,Unhealthy
9650,80.5,4,2750,1.1,Unhealthy
9572,80,4.6,2386,2.5,Unhealthy
10186,80.5,8.5,2359,1.2,Unhealthy
9382,80,8.5,2639,1.4,Unhealthy
10121,80.4,6.4,2613,2.9,Unhealthy
9714,80,8,2472,3,Unhealthy
10294,79.9,6.4,2727,2.1,Unhealthy
9486,80.1,8.8,2552,2.8,Unhealthy
9583,80,4.5,2592,1.1,Unhealthy
9496,80,8.2,2492,1.5,Unhealthy
9616,80.3,6,2314,2.3,Unhealthy
10061,80,8.3,2281,1.6,Unhealthy
9662,79.7,5.9,2327,2.8,Unhealthy
9661,79.7,7.2,2221,1.2,Unhealthy
9592,80,6.3,2199,1.2,Unhealthy
9793,79.5,7.2,2740,2.6,Unhealthy
10267,79.5,7.7,2254,1.1,Unhealthy
9337,80.3,5.4,2470,2.4,Unhealthy
9919,80.3,5.5,2678,2.3,Unhealthy
10252,79.5,7.4,2440,2.6,Unhealthy
10256,80.1,4.9,2397,1.4,Unhealthy
9553,80.1,8.3,2330,1.6,Unhealthy
10129,80.2,8.7,2484,1.5,Unhealthy
9612,80.2,7.5,2188,2.2,Unhealthy
9786,80.4,4.4,2253,1.7,Unhealthy
9998,80,6,2664,2.1,Unhealthy
9493,79.6,6.8,2290,1.9,Unhealthy
10084,80,7.1,2414,2,Unhealthy
9818,80.5,5.6,2621,2.5,Unhealthy
9925,80.5,7.5,2622,1.9,Unhealthy
9927,79.5,4.2,2295,2.6,Unhealthy
10200,80.2,7,2517,1.6,Unhealthy
10197,79.8,8,2516,1.6,Unhealthy
10128,79.9,4.6,2671,1,Unhealthy
9633,80.3,6.5,2738,1.2,Unhealthy
9592,79.7,4.3,2311,2.7,Unhealthy
9605,80.5,7.6,2741,1.7,Unhealthy
9755,80.2,4.1,2609,2.2,Unhealthy
9552,80.5,7.7,2449,2.8,Unhealthy
9750,79.8,7,2739,2.8,Unhealthy
10126,80.1,7.2,2379,2.7,Unhealthy
9316,80,7,2573,1.2,Unhealthy
10305,80.4,8.6,2382,2.4,Unhealthy
9394,80.2,6.8,2571,1.2,Unhealthy
10183,79.8,5.4,2412,1.9,Unhealthy
9925,80,4.7,2521,1.8,Unhealthy
10221,80.4,5.9,2539,2.5,Unhealthy
9498,79.8,5.9,2347,2.1,Unhealthy
9929,79.8,7,2596,1.4,Unhealthy
9567,79.9,8.1,2682,2.4,Unhealthy
10166,79.9,5.5,2351,1.7,Unhealthy
9721,79.9,6.9,2242,1.6,Unhealthy
9477,80,7.1,2283,1.2,Unhealthy
9765,80.4,4.1,2667,2.4,Unhealthy
9843,79.9,5.8,2735,3,Unhealthy
10001,80,5.7,2606,2.2,Unhealthy
9690,79.9,6.2,2253,2.2,Unhealthy
10089,80.1,8.7,2424,1.5,Unhealthy
9897,80.2,6.6,2396,2.3,Unhealthy
10258,80.3,6,2577,2.3,Unhealthy
9381,79.8,8.8,2500,2.1,Unhealthy
10282,80.4,6.6,2237,2,Unhealthy
10291,79.8,4.3,2591,2.4,Unhealthy
9699,80.4,6.9,2434,3,Unhealthy
9358,79.8,6.3,2501,2.3,Unhealthy
9323,80.1,8.2,2261,1.8,Unhealthy
10126,80.5,6.4,2173,2.6,Unhealthy
9841,79.6,5.5,2558,1.4,Unhealthy
10119,79.7,8.7,2654,1.9,Unhealthy
9900,80.1,6,2632,2,Unhealthy
9527,80.2,7.6,2282,2.2,Unhealthy
9482,80.2,4.5,2275,2.1,Unhealthy
9332,79.7,4.9,2159,1.7,Unhealthy
9564,79.7,6.3,2604,2.7,Unhealthy
10211,79.8,9,2361,2.9,Unhealthy
9863,80.2,8.6,2219,2.6,Unhealthy
10032,79.8,4.3,2291,2.9,Unhealthy
9672,80.4,4,2372,1.1,Unhealthy
9880,80.3,8.6,2472,2,Unhealthy
9317,80.2,6.4,2302,1.7,Unhealthy
9454,79.9,5.3,2465,1.7,Unhealthy
9782,79.7,6.2,2714,2.8,Unhealthy
9716,80,5.5,2279,2.4,Unhealthy
10096,80.3,5.9,2250,2.9,Unhealthy
10273,79.9,8.2,2202,2.6,Unhealthy
10189,80.3,8.7,2396,1.2,Unhealthy
9901,79.6,4.8,2243,1.8,Unhealthy
9753,79.7,7.8,2305,2.2,Unhealthy
9552,80.1,8,2491,1.1,Unhealthy
10222,79.8,4.6,2498,2.7,Unhealthy
9776,79.8,5.9,2502,1.7,Unhealthy
10138,80.1,5.6,2610,2.5,Unhealthy
9375,80.4,8.1,2545,1.4,Unhealthy
9803,80.3,5.2,2454,2.6,Unhealthy
10244,79.6,8.9,2384,1.1,Unhealthy
10020,80,6.9,2523,2.3,Unhealthy
9461,80.3,8.6,2497,1.3,Unhealthy
9927,79.6,8.8,2463,2.7,Unhealthy
9288,79.9,5.7,2563,1.8,Unhealthy
9621,80.2,7.5,2262,2.3,Unhealthy
9448,79.7,8.2,2265,2,Unhealthy
9468,80.2,5.5,2444,2.3,Unhealthy
9742,79.7,7.8,2740,1.3,Unhealthy
10138,79.7,5.8,2264,2.4,Unhealthy
9863,79.6,8.3,2694,1.3,Unhealthy
9388,80.2,5,2440,2,Unhealthy
9491,80.4,8.8,2270,1.1,Unhealthy
10182,80.4,4.7,2382,2.4,Unhealthy
9527,79.9,4.4,2273,2,Unhealthy
10102,79.6,8.7,2270,2.9,Unhealthy
10269,79.9,8.8,2326,1.4,Unhealthy
9987,80.2,4.8,2649,1.5,Unhealthy
10091,79.7,4.7,2701,2.2,Unhealthy
10109,80.1,7.3,2418,2.1,Unhealthy
9974,80.4,5.2,2337,1.2,Unhealthy
10031,80.1,8.4,2491,2.7,Unhealthy
9462,80.2,4.7,2389,2.3,Unhealthy
9797,80,4.7,2636,2.2,Unhealthy
9336,80,7.3,2171,1.4,Unhealthy
9375,80.2,5.6,2730,2.3,Unhealthy
9341,80.1,8.9,2701,2.5,Unhealthy
9691,80.1,7,2500,1.9,Unhealthy
9474,79.6,8,2455,2.5,Unhealthy
9341,80.3,7.6,2252,3,Unhealthy
9461,79.5,5.7,2253,1.4,Unhealthy
10009,80.1,8.8,2524,1.1,Unhealthy
9642,79.9,4.6,2708,1.6,Unhealthy
9614,80.3,6,2186,1.8,Unhealthy
9850,79.8,7.8,2188,1.8,Unhealthy
9823,80.5,6.2,2190,2.6,Unhealthy
9393,79.7,4.7,2185,1.1,Unhealthy
10126,80.1,4.4,2692,2.5,Unhealthy
9337,79.7,4.6,2583,1.8,Unhealthy
10159,79.9,6.7,2375,2,Unhealthy
9427,80.3,8.8,2722,1,Unhealthy
10105,79.9,8.3,2165,1.5,Unhealthy
10022,79.7,5.6,2693,2.3,Unhealthy
9927,80,4.9,2246,1.8,Unhealthy
9468,79.8,7.1,2529,2.8,Unhealthy
9892,80.3,5.5,2197,2.4,Unhealthy
10113,79.6,7.4,2206,2.6,Unhealthy
9965,80.3,5.8,2145,1.6,Unhealthy
9580,80,8.4,2494,2.1,Unhealthy
9353,80.5,8.6,2581,2.7,Unhealthy
9647,79.9,6,2591,2.7,Unhealthy
9357,80,5.4,2425,1.9,Unhealthy
9601,79.8,8.1,2294,2.1,Unhealthy
9524,79.9,5.3,2314,2.8,Unhealthy
9926,80.1,6.6,2593,2.4,Unhealthy
9914,80,5.1,2535,2.4,Unhealthy
9940,79.7,8.3,2388,1.3,Unhealthy
9856,79.8,8.2,2410,1.6,Unhealthy
10028,79.9,5.3,2428,1,Unhealthy
10184,80.3,7.5,2292,1.7,Unhealthy
9259,79.9,4.3,2226,1.5,Unhealthy
10182,80,4.7,2290,2,Unhealthy
9333,79.5,8.7,2494,1.6,Unhealthy
9632,80.3,8.8,2512,1.1,Unhealthy
9621,80.3,7.6,2407,1.3,Unhealthy
9605,80.2,4.2,2238,1.9,Unhealthy
9399,80.1,6.6,2426,1.4,Unhealthy
10017,79.6,6.1,2332,2.5,Unhealthy
10002,80,6,2143,1.9,Unhealthy
9320,79.8,8.4,2452,2.8,Unhealthy
9273,80.4,8.1,2371,2.5,Unhealthy
9822,80.2,8.5,2340,2.4,Unhealthy
10086,80.2,7.5,2725,3,Unhealthy
9912,79.9,4.6,2259,2.4,Unhealthy
9322,80.3,5.3,2292,1.3,Unhealthy
9728,80,6.4,2650,1.1,Unhealthy
9994,79.8,7.4,2569,2.7,Unhealthy
9486,80.2,7.6,2622,2.5,Unhealthy
10241,79.7,7,2482,1.4,Unhealthy
9295,80.2,6.4,2723,2.1,Unhealthy
9691,80.5,5.4,2650,2.2,Unhealthy
10094,80,7.3,2503,2.2,Unhealthy
10156,79.7,5.7,2593,1.5,Unhealthy
9385,79.6,5.8,2216,1.2,Unhealthy
10173,79.9,6.1,2669,2.2,Unhealthy
10054,79.7,7.6,2506,2.3,Unhealthy
10150,80.3,4.5,2363,2.8,Unhealthy
